Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,Price,Brand,Model,CarAge
6,6000,4,1,0,19.5,1199,86.76,2,5,4,6.7,8,17,4
10,85000,4,1,0,16.51,1586,103.2,0,5,4,2.5,16,152,14
8,67000,1,1,0,19.33,1968,138.1,2,5,4,5,27,99,10
6,41460,1,1,0,25.2,1248,74,2,5,4,5.9,16,166,6
3,13689,1,0,0,17.9,2143,136,1,5,4,28.25,17,33,5
4,37000,1,0,0,12.7,2179,187.7,2,5,4,36,14,143,7
8,45000,1,1,0,22.07,1199,73.9,2,5,4,2.99,27,128,10
3,58661,1,0,0,15.17,1968,181,1,5,4,28.03,0,132,6
1,47000,1,1,2,23.5,1498,90,0,5,4,6,7,74,11
5,96000,1,1,2,17.88,1396,52.8,2,5,4,0.91,25,94,11
10,112500,1,0,0,11.5,2993,228.25,0,5,4,7.99,1,3,14
3,23154,1,1,0,23,1498,98.96,0,5,4,11.65,7,62,3
7,41283,4,1,0,20.73,1373,91.1,1,5,4,9.9,16,43,4
3,91743,1,0,0,12.07,2967,228.25,0,7,5,28.55,0,134,10
5,79000,1,0,0,13.1,2400,215,0,5,4,10.99,28,148,14
5,84600,4,1,2,21.1,814,55.2,2,5,4,2.5,9,61,9
3,49275,1,0,0,12.7,2179,187.7,1,5,4,45.64,14,143,5
2,107389,1,1,2,20,1399,68,2,5,4,1.9,7,75,12
2,131500,1,1,0,25,1396,69,1,5,4,2.5,25,94,6
8,14000,4,1,0,18.9,998,67.1,0,5,4,2.8,16,183,7
3,41075,1,1,0,28.4,1248,74,0,5,4,8.4,16,166,3
3,75995,1,0,2,11.49,3163,228.25,2,5,4,65.81,14,143,9
7,58472,4,1,0,19.81,1086,68.05,1,5,4,3.41,9,203,8
3,65367,1,0,0,11.36,2755,171.5,0,7,4,20.14,26,96,5
6,87459,4,1,0,14.7,1390,85,1,5,4,2.75,23,73,13
7,50867,1,1,0,20.34,1498,103.2,0,5,4,7.95,27,177,6
5,74000,1,1,0,22.07,1199,73.9,1,5,4,4.85,27,128,9
4,68000,4,1,0,18.9,998,67.1,2,5,4,2.5,16,183,11
10,58407,4,1,0,17.4,1497,117.3,1,5,4,6.16,8,44,8
0,59000,1,0,0,16.55,1968,140,1,5,4,12.5,0,10,11
3,46849,4,0,0,18.5,1197,83.14,2,5,4,6.93,16,166,5
3,41467,1,0,0,15,2143,204,1,5,4,37.98,17,60,4
5,15234,4,0,0,19.12,1373,91.1,2,5,4,9.95,16,43,5
1,35000,1,1,2,15.4,2179,120,1,7,5,8.5,15,158,7
9,20000,4,0,0,16.5,1198,86.8,2,5,4,5.99,8,31,5
10,79000,4,1,0,18,1198,86.7,0,5,4,4,8,17,7
3,49575,4,1,0,18.7,1199,88.7,2,5,4,7.17,8,97,5
9,35000,1,0,0,18,2993,228.25,2,7,5,41.6,14,143,5
6,82000,1,1,2,13.8,1399,68,2,5,4,1,7,93,12
9,69009,4,1,2,15.6,1196,70,1,5,4,2.4,7,75,12
8,35010,1,0,0,12.4,2698,179.5,0,5,4,11.5,0,11,12
4,62000,1,1,0,12.99,2494,100,2,7,4,7.75,26,96,10
2,32000,4,1,2,14.28,1798,138.03,1,5,4,4.95,26,51,13
7,35082,1,1,0,23.4,1248,74,0,5,4,6.61,16,166,7
4,60000,4,1,0,18.9,1061,67,1,5,4,1.35,16,183,13
3,65278,1,1,0,14.66,2199,194.3,1,7,5,8.36,9,155,9
6,70000,1,1,0,23.65,1248,88.5,2,5,4,8.85,16,152,6
1,73000,4,1,2,24.7,796,47.3,1,5,4,2.75,16,16,8
5,40279,1,1,0,16.5,1493,70,1,7,5,8,15,28,5
0,51000,4,1,0,20.36,1197,78.9,2,5,4,3.75,9,203,8
7,42243,1,1,0,27.39,1248,74,2,5,4,7.48,16,25,4
8,39000,4,1,0,15.04,1598,103.2,2,5,4,3.99,27,177,7
8,131500,4,1,0,18.5,1197,85.8,1,5,4,2.5,16,142,11
8,100000,1,1,0,23.4,1248,74,1,5,4,3.5,16,166,6
10,131500,1,1,3,28.4,1248,73.75,2,5,4,2.25,16,58,10
8,25000,4,1,0,25.17,799,53.3,1,5,4,2.99,22,101,5
5,45295,4,1,0,18.9,998,67.1,0,5,4,4.3,16,183,7
6,33000,4,1,0,16.09,1598,103.5,2,5,4,7.7,27,177,6
5,52000,1,1,0,28.4,1248,74,1,5,4,5.95,16,166,6
4,21701,4,1,0,23.1,998,67.04,0,5,4,3.38,16,42,8
3,38214,4,1,2,18.5,1197,80,2,5,4,4.05,9,204,10
5,59245,1,1,0,20.77,1248,88.8,1,7,5,8.5,16,68,7
6,118500,4,1,0,12.9,1598,102.5,2,5,4,1.25,3,121,15
3,20300,4,0,0,18,1497,117.3,2,5,4,14.21,8,44,4
1,44414,1,0,0,17.9,2143,170,2,5,4,42.5,17,83,6
2,81000,1,1,0,25.44,936,56.3,2,5,4,2.5,3,26,10
8,37298,1,1,0,25.1,1498,98.6,0,5,4,4.9,8,44,8
4,12000,4,1,0,14.53,1798,138,1,5,4,11,26,51,7
6,30292,4,1,0,18.6,1197,81.83,0,5,4,6.3,9,204,6
4,60000,1,0,2,15.2,1968,140.8,1,5,4,10.35,0,10,10
0,72000,4,1,2,17,1197,80,2,5,4,3.25,9,204,11
5,73500,1,1,2,20,1399,68,2,5,4,2.6,7,75,10
7,55598,1,0,0,22.69,1995,190,0,5,4,11.5,1,2,10
4,24296,4,1,0,20.85,1197,83.14,2,5,4,4.65,16,166,7
5,100000,1,1,0,11.5,2982,171,2,7,5,13,26,77,12
4,62000,0,1,0,26.6,998,58.16,2,5,4,2.8,16,183,9
3,75421,1,1,0,25.44,936,56.3,1,5,4,3.63,3,26,9
3,60908,4,0,2,15.6,1497,116.3,1,5,4,6.42,8,44,10
5,69000,1,1,0,19.3,1248,73.9,0,5,4,4.79,16,166,6
0,75180,4,1,0,18.2,1061,64,0,5,4,1.65,16,201,15
7,36935,1,0,0,18.56,1995,190,2,5,4,32.64,1,186,5
5,57156,1,0,2,18.88,1995,184,1,5,4,18,1,2,10
7,45725,1,1,0,25.2,1248,74,2,5,4,5.34,16,166,6
9,86000,1,1,0,19.4,1422,70,2,5,4,2.75,23,73,13
6,14000,4,1,0,18.9,1197,82,0,5,4,4.6,9,89,7
9,25000,1,0,0,22.69,1995,190,0,5,4,17.99,1,2,9
10,72000,1,1,0,23.08,1461,63.1,0,5,4,2.3,20,110,11
10,37000,4,1,0,17.6,1496,88.73,0,5,4,2.8,26,70,11
3,53934,4,1,2,18.9,998,67.1,0,5,4,2.69,16,183,14
9,76477,1,1,0,10.5,2179,120,2,8,5,4.25,15,158,12
8,47052,1,1,0,20.77,1248,88.76,2,7,5,5.99,16,68,8
1,69000,4,1,0,20.36,1197,78.9,1,5,4,2.9,9,203,12
10,87000,1,0,0,17.11,1968,174.33,2,5,4,15.5,0,10,9
2,100970,1,0,0,15.5,1896,105,1,5,4,4,27,99,13
3,44238,4,1,0,18.6,1197,81.83,1,5,4,6.72,9,204,6
8,45000,1,0,0,21.66,1498,103.52,2,5,4,4.25,23,139,7
8,47000,1,1,0,22.9,1248,74,0,5,4,3.9,16,166,8
9,20000,4,1,0,18.9,1197,82,2,5,4,3.85,9,89,7
7,55101,4,0,0,14.53,1794,138.1,0,5,4,8.4,26,51,9
2,31500,4,0,0,16.5,1198,86.8,2,5,4,4.15,8,31,10
8,40000,4,1,0,16.8,1497,116.3,2,5,4,6.49,8,44,8
7,29836,1,0,0,17.9,2143,136,2,5,4,25.75,17,33,3
9,17000,4,0,0,18,1497,117.3,2,5,4,11.6,8,44,5
4,62000,4,0,0,12.9,1799,130,0,5,4,3.75,8,45,11
1,46374,4,0,0,14.62,1999,149.92,2,5,4,8.85,9,64,8
7,8587,4,1,0,15.29,1591,121.3,2,5,4,13.56,9,53,3
7,68022,1,1,0,13.1,2499,141,1,7,5,5.86,7,66,11
8,4800,4,1,0,20.51,998,67.04,1,5,4,3.6,16,183,6
5,105000,1,0,2,13.2,1995,170,1,5,4,11,1,2,12
1,17465,4,0,0,12.05,2979,228.25,2,5,4,93,1,5,5
9,44000,4,1,0,17.7,1497,78,2,5,4,1.55,8,44,16
9,47000,1,0,2,14.21,2143,203,1,5,4,13.9,17,60,11
2,110000,1,0,0,11,2993,228.25,2,5,4,18,1,187,13
5,79000,1,0,0,19.3,1968,141,0,5,4,17,23,118,7
3,73187,1,0,0,13,2143,204,0,5,4,30.72,17,60,7
10,69000,4,1,0,20.92,998,67.1,0,5,4,2.1,16,16,10
8,20000,4,0,0,21.4,1197,83.1,1,5,4,5.74,16,25,6
5,85155,4,1,0,17,1197,80,1,5,4,3.55,9,204,12
7,51806,1,1,0,25.8,1498,98.6,1,5,4,5.4,8,17,6
7,5354,4,0,0,18.9,1197,81.86,1,5,4,6.76,9,89,4
10,131500,4,1,0,13.1,1798,157.75,2,5,4,9.5,23,165,8
4,67407,1,1,0,21.27,1396,88.76,1,5,4,4.65,9,204,8
9,10003,1,0,0,17.9,2143,170,2,5,4,48.5,17,83,4
1,34000,4,0,2,10.5,1796,157.7,1,5,4,19,17,60,11
9,75915,4,1,0,20.36,1197,78.9,0,5,4,3.9,9,203,7
7,48198,4,1,0,17.57,1193,88.7,0,5,4,4.65,25,202,5
2,35129,4,0,0,21.4,1197,83.1,2,5,4,7,16,25,6
5,69972,4,1,0,13.5,1799,130,0,5,4,3.8,8,45,14
9,56500,1,0,0,17.68,1968,174.33,2,5,4,19.8,0,11,9
3,21214,4,1,0,15.41,1598,103.52,1,5,4,9.66,23,139,3
6,73053,1,1,0,13,2982,168.5,2,7,5,20,26,77,6
9,27000,4,1,0,15.8,1499,110,2,5,4,8.3,7,62,5
10,50000,4,1,2,17,1197,80,0,5,4,3,9,204,12
3,51982,1,0,0,16.55,2993,228.25,1,5,4,45.77,1,186,5
10,52126,1,1,0,21.64,1461,84.8,1,5,4,6,22,157,6
1,95000,1,1,2,22.32,1582,126.32,1,5,4,6.9,9,179,8
4,110000,1,0,0,13.01,2199,194.3,1,7,5,12.9,9,155,8
8,55000,1,1,0,16,2179,140,0,7,5,8.5,15,195,8
8,84677,1,1,0,25.8,1498,98.6,0,5,4,3,8,17,8
4,70000,1,0,0,12.97,2179,187.7,2,5,4,35,14,143,6
5,68800,1,1,0,17.8,1248,98.145,2,5,4,5,16,166,9
7,37245,4,0,0,14.8,1595,120.7,2,5,4,11.96,17,22,8
7,78526,1,1,0,23,1498,98.96,0,5,4,8.09,7,62,5
7,63288,1,1,0,15.1,2179,140,2,7,5,7.77,15,195,8
1,38623,4,1,0,19.1,1197,85.8,2,5,4,5,16,166,9
1,40000,4,1,0,15.29,1591,121.3,1,5,4,11.5,9,53,6
9,60669,4,1,0,16.8,1497,116.3,1,5,4,4.95,8,44,9
10,66000,4,1,2,15.04,1598,103.6,0,5,4,4.25,27,177,11
3,49404,1,1,0,18.49,1493,100,1,7,5,7.36,15,168,5
5,89000,4,0,0,19.2,1197,80,2,5,4,4.19,9,203,9
5,109000,1,1,2,12.99,2494,100.6,1,7,4,8.26,26,96,12
7,54308,4,1,0,17.1,1591,121.3,2,5,4,4.28,9,179,10
7,57026,4,1,0,15.04,1598,103.6,2,5,4,5.54,27,177,7
1,60000,4,1,0,16.2,1599,103.2,0,5,4,3.95,9,179,11
3,47392,1,1,0,20.5,1582,126.2,0,5,4,13.82,9,53,6
0,15000,1,0,0,12.9,2755,174.5,1,7,5,30,26,77,5
4,92000,1,0,0,12.55,2982,168.5,2,7,5,19.75,26,77,7
2,77000,4,0,1,9.7,1995,163.5,0,5,4,5.5,16,89,14
2,80000,1,1,3,21.5,1248,88.8,0,5,4,3.5,16,152,11
9,12000,4,1,0,22.5,998,67.04,1,5,4,2.45,16,183,12
9,65938,1,0,2,12.07,2967,228.25,2,7,5,38,0,134,7
1,131500,4,1,0,18.5,1197,82.9,2,5,4,4.45,9,204,9
3,69053,4,0,0,18.9,1197,82,2,5,4,5.72,9,89,7
7,40866,4,1,0,19.5,1199,86.76,2,5,4,5.47,8,17,6
2,43000,1,0,0,10.91,3163,197.2,1,7,5,26.5,7,66,6
7,12800,4,1,0,18.6,1197,81.83,1,5,4,7.67,9,204,3
3,14233,1,0,0,17.6,2179,153.86,2,7,5,17.85,25,91,3
9,23000,1,0,0,19.3,1968,141,0,5,4,15.75,23,118,7
4,71000,1,1,0,13,2982,168.5,2,7,5,15.25,26,77,9
6,64876,4,1,0,21.5,1197,81.8,0,5,4,3.5,16,183,7
9,8554,4,1,0,25.17,799,53.3,0,5,4,3.2,22,101,6
7,51950,4,1,0,20.73,1373,91.1,1,5,4,6.75,16,43,6
7,13460,4,1,0,18.6,1197,81.86,2,5,4,8.91,9,65,5
4,80302,4,1,0,17,1497,118,0,5,4,3.5,8,44,12
1,80000,4,1,2,13.2,1495,94,0,5,4,1.9,9,14,14
1,66000,1,1,0,25.44,936,56.3,2,5,4,2.35,3,26,7
0,60000,4,1,0,19.81,1086,68.05,1,5,4,1.99,9,203,14
7,40810,1,1,0,28.09,1248,88.5,1,5,4,7.9,16,43,6
9,30000,4,1,0,20.73,1373,91.1,2,5,4,6.55,16,43,7
3,56526,4,1,0,15.26,1598,103.5,0,5,4,5.84,27,128,9
8,43600,4,0,0,10.93,3163,228.25,2,5,4,10.24,17,60,13
5,90121,4,1,0,20.92,998,67.1,1,5,4,2.2,16,16,9
7,57259,1,1,0,18.49,1493,100,0,7,5,8.87,15,168,5
5,29000,1,0,0,17.9,2143,201.15,1,5,4,57,17,84,5
10,21000,4,1,0,18.6,1197,81.83,2,5,4,6.3,9,204,6
3,44731,1,1,2,20,1399,68,0,5,4,4.34,7,75,9
9,48000,4,1,0,16,1368,90,1,5,4,3,5,105,11
6,116000,1,1,2,15.8,2148,170,2,5,4,8.5,17,115,13
10,39800,1,1,0,17.6,2179,153.86,1,7,5,14.25,25,91,5
2,85350,1,1,2,22.32,1582,126.32,1,5,4,5.7,9,179,9
0,37229,4,0,0,16.95,1197,78.9,2,5,4,3.41,9,203,10
1,60000,1,1,0,10.5,2179,120,2,8,5,4,15,158,16
5,75700,1,1,0,24,1120,70,1,5,4,5.7,9,89,6
0,49000,1,0,0,18.23,1582,126.2,1,5,4,8.9,9,64,8
6,35000,4,1,3,19.7,796,35,2,5,4,1.85,16,119,11
1,60000,4,1,0,17,1497,118,2,5,4,4.95,8,44,11
3,29091,1,0,0,13.22,2967,228.25,0,5,4,45.52,0,133,4
1,29063,1,0,0,17.11,1968,174.33,1,5,4,25.75,0,10,8
2,70010,1,1,0,20.54,1598,103.6,1,5,4,5.25,27,177,8
6,3000,4,1,0,24.7,796,47.3,2,5,4,3.5,16,16,3
2,86000,4,1,2,14.53,1798,138.1,1,5,4,3.5,26,51,14
4,52000,1,1,0,23.4,1248,74,1,5,4,5.25,16,166,8
7,55730,1,0,0,16.55,1968,147.51,1,5,4,15.21,0,10,8
7,26038,4,1,0,18.9,1197,82,2,5,4,5.43,9,89,6
8,42500,1,0,0,18.33,1968,167.7,0,5,4,5.25,27,125,11
8,35888,1,1,0,21.1,1248,73.9,2,5,4,1.89,16,142,11
7,46821,4,1,0,20.36,1197,78.9,0,5,4,3.42,9,203,9
4,48000,1,0,2,17.85,2967,228.25,0,4,4,50.5,21,124,9
5,67147,4,1,0,19.7,796,46.3,1,5,4,2.6,16,16,10
4,38000,1,0,0,10.91,3163,197,2,7,5,30.48,7,66,5
7,34688,1,1,0,24.3,1248,88.5,0,5,4,10.49,16,180,3
2,37000,4,1,0,21.1,814,55.2,1,5,4,3.25,9,61,8
7,56075,4,1,0,19.81,1086,68.05,2,5,4,3.12,9,203,9
8,43000,4,1,0,17,1197,80,2,5,4,1.99,9,204,13
9,17000,4,0,0,16,1497,117.3,0,7,5,9.5,8,24,5
4,34951,4,1,2,20.36,1197,78.9,2,5,4,3.15,9,203,7
4,51000,1,1,0,22.9,1248,74,0,5,4,4.74,16,166,7
9,11000,1,0,0,20.7,1496,113.98,1,5,4,29.5,18,50,6
8,42000,4,1,0,19.7,796,46.3,1,5,4,1.09,16,16,14
6,40500,1,1,0,28.09,1248,88.5,2,5,4,7.1,16,43,7
6,117000,1,1,0,18,1248,75,0,5,4,1.1,25,94,13
10,65000,4,1,2,15.04,1598,103.6,0,5,4,4.5,27,177,9
3,17705,4,1,0,21.4,1197,83.1,1,5,4,8.7,16,25,3
4,25500,1,1,0,22.54,1396,88.73,0,5,4,7,9,204,5
8,78000,1,1,0,25,1396,69.01,1,5,4,2.3,25,95,6
7,54199,1,1,0,23,1248,88.8,1,5,4,5,25,202,6
4,39000,1,1,0,23,1498,98.96,1,5,4,8.45,7,62,5
8,31423,4,1,0,17,1497,118,1,5,4,1.99,8,44,13
8,31000,4,1,0,24.7,796,47.3,0,5,4,2.15,16,16,6
2,63000,1,1,0,22.9,1248,74,2,5,4,4.5,16,166,10
0,17125,4,1,0,18.9,1197,82,2,5,4,5.4,9,89,5
3,28881,1,0,0,13.01,2199,194.3,2,7,5,21.37,9,155,6
9,61240,1,0,0,22.48,1995,190,1,5,4,17.5,1,3,10
6,55000,1,1,0,19.87,1461,83.8,0,5,4,6.5,22,57,7
4,17585,4,1,0,16.02,1373,93.7,1,7,5,6.35,16,68,8
8,85450,1,1,0,26.59,1248,74,1,5,4,4,16,166,6
5,61964,4,1,0,19,998,66.1,2,5,4,2.25,16,8,13
9,45000,4,1,0,15.04,1598,103.6,1,5,4,4.8,27,177,8
9,16329,1,0,0,19.27,2143,170,2,5,4,30.3,17,115,7
3,50121,4,1,0,20.4,1197,83.11,2,5,4,3.41,16,166,14
2,67620,4,1,2,17.6,1496,88.8,2,5,4,4.2,26,70,9
2,25000,1,0,0,12.19,2967,228.25,2,5,4,44,0,133,8
4,78000,4,0,2,13.7,1798,157.75,0,5,4,4.5,23,165,11
2,37000,4,1,0,15.04,1598,103.6,0,5,4,4.8,27,177,11
9,19119,4,1,0,18.9,998,67.1,1,5,4,2.7,16,183,12
7,51612,4,1,0,18.6,1197,81.83,0,5,4,7.11,9,204,5
2,90000,1,1,0,12.99,2494,100.6,2,7,4,13.9,26,96,6
8,40000,4,1,0,17.7,1497,78,2,5,4,1.8,8,44,14
10,65000,4,1,2,26,624,35,2,4,4,0.44,25,114,11
2,87000,1,1,0,20.77,1248,88.76,1,7,5,6,16,68,10
9,102000,4,1,2,17,1086,98.145,2,5,4,0.85,9,156,16
5,53000,1,0,0,16.55,1968,140,2,5,4,20.5,0,10,8
3,40670,1,1,2,15.2,1968,140.8,2,5,4,17.74,0,10,9
0,55000,1,1,0,20.45,1461,83.8,2,5,4,4.75,22,57,8
8,31000,1,0,0,17.68,1968,174.33,0,5,4,18.95,0,11,9
8,45000,4,1,0,16.7,1198,88.8,0,5,4,1.99,8,97,12
9,130000,1,1,0,23.4,1248,74,2,5,4,3.25,16,166,7
2,100000,1,0,0,11.4,2953,153.86,2,7,5,8.5,7,66,11
7,35058,4,1,0,15,1598,103.52,0,5,4,6.54,23,139,6
3,48105,4,1,0,19.7,796,46.3,2,5,4,3.1,16,16,12
4,69313,4,1,2,17.5,1197,85.8,2,5,4,2.65,16,166,11
5,52950,4,1,0,14,796,35,2,5,4,2.35,16,119,7
6,65000,1,1,0,25,1396,69.01,2,5,4,2.8,25,95,6
2,54000,4,1,2,16.1,1197,85,0,5,4,4.5,16,166,8
9,42366,4,1,0,17.8,1497,117.3,0,5,4,7.75,8,44,7
6,77084,1,1,0,28.4,1248,73.75,2,5,4,4.95,16,58,9
10,129986,1,1,2,20,1399,68,0,5,4,3.2,7,75,12
3,28232,4,1,2,15.8,1499,110,0,5,4,7.72,7,62,7
8,18700,4,1,2,19.7,796,46.3,1,5,4,1.25,16,16,15
5,86300,1,1,0,22.07,1199,73.9,2,5,4,4.5,27,128,9
6,48000,4,1,0,18.2,1199,82.4,0,5,4,3.25,3,154,9
8,44000,4,0,0,16.4,1497,78,1,5,4,1.5,8,44,16
9,41000,1,0,0,15.3,2993,228.25,1,5,4,45,1,187,7
4,72351,1,1,0,23.59,1364,98.145,0,5,4,2.65,26,70,10
3,78212,4,1,0,16.1,1298,88.2,2,5,4,5.35,16,166,10
6,50510,1,0,0,17.06,1968,141,2,5,4,24.9,27,174,5
1,32510,1,1,2,20,1399,68,2,5,4,3.75,7,75,10
6,50000,1,1,2,24,1120,70,0,5,4,4,9,89,7
3,58671,1,0,0,17.01,1582,126.2,0,5,4,14.25,9,53,6
4,131500,1,1,0,12.99,2494,100.6,1,8,5,6.95,26,96,11
8,66618,1,0,0,11.36,2755,171.5,0,7,4,15.49,26,96,6
3,51593,4,1,2,15.6,1196,70,0,5,4,3.47,7,75,11
2,21000,1,0,2,15.97,2993,228.25,1,5,4,55,1,187,5
7,65266,1,0,0,14.69,2993,228.25,2,5,4,31.75,1,3,7
9,22000,4,1,0,18.88,999,123.24,2,5,4,7.85,7,62,5
